Scopus refine results values

"Your query : ((TITLE-ABS-KEY(""Monoclonal Antibod*"") OR TITLE-ABS-KEY(""Antibodies, Monoclonal"")) AND DOCTYPE(ar))"


Number of results : 327977

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
,,"1994","9891","Brechbiel, M.W.","156",,,,,,,"Journal Of Clinical Microbiology","1113","Enzyme Linked Immunosorbent Assay","28189","University of Oxford","1752","U.S. Public Health Service","1167","Argentina","1443",,,"Bosnian","8"
,,"1993","9680","Mascola, J.R.","156",,,,,,,"Cancer Immunology Immunotherapy","1103","Drug Efficacy","27679","Weill Cornell Medicine","1733","GlaxoSmithKline","1111","Mexico","1286",,,"Arabic","7"
,,"1992","9364","Sachs, D.H.","156",,,,,,,"Journal Of Cell Biology","1078","Antibodies, Monoclonal, Humanized","27027","Université Paris Cité","1722","National Center for Research Resources","1086","Portugal","1272",,,"Azerbaijani","4"
,,"1991","9284","Mason, D.Y.","155",,,,,,,"Journal Of Clinical Investigation","1057","Treatment Outcome","26320","Ministry of Education of the People's Republic of China","1698","Genentech","1051","Ireland","1222",,,"Lithuanian","3"
,,"1990","9183","Bluestone, J.A.","154",,,,,,,"Mabs","992","Pathology","25874","Johns Hopkins University School of Medicine","1697","AbbVie","1037","Singapore","1219",,,"Estonian","2"
,,"1989","8939","Stein, H.","154",,,,,,,"Scandinavian Journal Of Immunology","970","Flow Cytometry","25392","Duke University Medical Center","1678","Wellcome Trust","1029","New Zealand","1052",,,"Icelandic","2"
,,"1988","8370","Virtanen, I.","154",,,,,,,"Biochemistry","965","Genetics","22418","Icahn School of Medicine at Mount Sinai","1658","Sanofi","997","Egypt","973",,,"Malay","1"
,,"1987","8003","Davis, W.C.","153",,,,,,,"Immunology Letters","903","In Vitro Study","20842","UCSF School of Medicine","1655","Seventh Framework Programme","995","Hong Kong","953",,,"catalan","1"
,,"1986","7155","Steplewski, Z.","153",,,,,,,"Investigative Ophthalmology And Visual Science","866","Case Report","20540","Kyoto University","1651","Japan Agency for Medical Research and Development","948","South Africa","918",,,"Undefined","7"
,,"1985","6676","Wilson, I.A.","153",,,,,,,"Annals Of The Rheumatic Diseases","853","T Lymphocyte","20525","Cancer Research UK","1621","U.S. Department of Defense","908","Saudi Arabia","726",,,,
,,"1984","5025","Bigner, D.D.","150",,,,,,,"Journal Of Nuclear Medicine","825","Rat","19470","Leids Universitair Medisch Centrum","1559","National Health and Medical Research Council","896","Cuba","698",,,,
,,"1983","3539","Ledbetter, J.A.","150",,,,,,,"Veterinary Immunology And Immunopathology","812","Monoclonal Antibodies","19226","Pfizer Inc.","1522","National Research Foundation of Korea","820","Chile","570",,,,
,,"1982","2233","Pardridge, W.M.","150",,,,,,,"Analytical Chemistry","811","Cell Culture","19113","Amgen Incorporated","1485","Government of Canada","819","Ukraine","550",,,,
,,"1981","1135","Vermeire, S.","150",,,,,,,"Nature","811","Immunoglobulin G","19099","Karolinska Universitetssjukhuset","1477","Ministry of Health, Labour and Welfare","808","Slovakia","548",,,,
,,"1980","423","Montefiori, D.C.","149",,,,,,,"Journal Of Infectious Diseases","801","Clinical Trial","18544","Institut Pasteur, Paris","1476","Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung","793","Romania","512",,,,
,,"1979","111","Song, S.","149",,,,,,,"FEBS Letters","796","Mice, Inbred BALB C","18297","University College London","1431","National Center for Advancing Translational Sciences","733","Malaysia","495",,,,
,,"1978","23","Crowe, J.E.","148",,,,,,,"Leukemia And Lymphoma","782","Support, U.S. Gov't, P.H.S.","17938","Amsterdam UMC - University of Amsterdam","1426","Boehringer Ingelheim","728","Croatia","485",,,,
,,"1977","7","Moretta, A.","148",,,,,,,"Journal Of Virological Methods","776","Chemistry","17837","University of Melbourne","1426","Johnson and Johnson","724","Colombia","411",,,,
,,"1976","7","Gatter, K.C.","146",,,,,,,"Journal Of Investigative Dermatology","768","Antineoplastic Agent","17776","Fred Hutchinson Cancer Center","1423","Associazione Italiana per la Ricerca sul Cancro","717","Bulgaria","403",,,,
,,"1975","12","Schachner, M.","145",,,,,,,"Journal Of Histochemistry And Cytochemistry","755","Amino Acid Sequence","17742","UT Southwestern Medical Center","1419","Institut National de la Santé et de la Recherche Médicale","715","Slovenia","400",,,,
,,"1974","10","Scott, A.M.","145",,,,,,,"Brain Research","746","Epitope","17519","AP-HP Assistance Publique - Hopitaux de Paris","1412","F. Hoffmann-La Roche","706","Serbia","372",,,,
,,"1973","8","Bach, J.F.","143",,,,,,,"International Journal Of Molecular Sciences","740","Drug Safety","17265","The University of Chicago","1402","American Cancer Society","701","Kenya","343",,,,
,,"1970","1","Malavasi, F.","143",,,,,,,"Biochemical Journal","731","Comparative Study","17198","Eli Lilly and Company","1385","U.S. Department of Energy","694","Indonesia","306",,,,
,,"1955","1","Baldwin, R.W.","142",,,,,,,"International Immunology","729","Cell Line","16929","University of Pennsylvania Perelman School of Medicine","1382","Auris Health","688","Pakistan","281",,,,
,,"1954","1","Tanaka, H.","142",,,,,,,"Analytical Biochemistry","726","Antibody Specificity","16552","The University of North Carolina at Chapel Hill","1382","National Institute of Dental and Craniofacial Research","688","Tunisia","211",,,,
,,"1946","1","Miyasaka, M.","141",,,,,,,"Vaccine","682","Rats","16310","Chinese Academy of Sciences","1378","Conselho Nacional de Desenvolvimento Científico e Tecnológico","670","Venezuela","206",,,,
,,"1936","1","Morimoto, C.","141",,,,,,,"British Journal Of Dermatology","679","Epitopes","16158","Universität Heidelberg","1376","European Regional Development Fund","647","Peru","188",,,,
,,,,"Rathore, A.S.","141",,,,,,,"Archives Of Virology","652","Drug Effect","16088","Howard Hughes Medical Institute","1358","Ministerio de Economía y Competitividad","646","Lithuania","167",,,,
,,,,"Hale, G.","139",,,,,,,"Arthritis And Rheumatism","648","Animalia","16038","KU Leuven","1355","Department of Health and Aged Care, Australian Government","621","Lebanon","165",,,,
,,,,"Takeuchi, T.","139",,,,,,,"Biotechnology And Bioengineering","647","Follow Up","15833","Cleveland Clinic Foundation","1353","Bundesministerium für Bildung und Forschung","614","Russia","161",,,,
,,,,"Levy, R.","138",,,,,,,"Nature Communications","642","Gene Expression","15734","Stanford University","1352","Canadian Institutes of Health Research","606","United Arab Emirates","154",,,,
,,,,"Blauvelt, A.","137",,,,,,,"Clinical Chemistry","640","T-Lymphocytes","15203","German Cancer Research Center","1344","Gilead Sciences","593","Bangladesh","153",,,,
,,,,"Boerman, O.C.","137",,,,,,,"Experimental Cell Research","640","Enzyme-Linked Immunosorbent Assay","15133","Beth Israel Deaconess Medical Center","1341","Biotechnology and Biological Sciences Research Council","578","Estonia","153",,,,
,,,,"Colcher, D.","137",,,,,,,"Thrombosis And Haemostasis","633","Adolescent","14263","Baylor College of Medicine","1339","Ministry of Education of the People's Republic of China","558","Viet Nam","151",,,,
,,,,"Rutgeerts, P.","136",,,,,,,"Journal Of Chromatography A","629","Molecular Sequence Data","13833","Università degli Studi di Milano","1331","Merck Sharp and Dohme","543","Philippines","146",,,,
,,,,"Natali, P.G.","135",,,,,,,"Human Pathology","624","Procedures","13772","University of Washington School of Medicine","1305","European Research Council","532","Iraq","142",,,,
,,,,"Reich, K.","134",,,,,,,"European Journal Of Cancer","623","Cell Proliferation","13198","Medizinische Universität Wien","1298","Bill and Melinda Gates Foundation","530","Kuwait","142",,,,
,,,,"Tsuruo, T.","132",,,,,,,"Journal Of Clinical Pathology","620","Cells, Cultured","13153","The University of Osaka","1282","Janssen Pharmaceuticals","528","Belarus","137",,,,
,,,,"Goldstein, G.","130",,,,,,,"American Journal Of Clinical Pathology","618","Signal Transduction","12953","Emory University School of Medicine","1280","National Institute of Environmental Health Sciences","523","Uruguay","135",,,,
,,,,"Kobayashi, H.","129",,,,,,,"FASEB Journal","615","Immunotherapy","12685","Radboud University Medical Center","1275","Instituto de Salud Carlos III","520","Nigeria","131",,,,
,,,,"Gottlieb, A.B.","128",,,,,,,"Journal Of Pharmaceutical Sciences","612","Aged, 80 And Over","12497","University of Wisconsin-Madison","1272","Natural Sciences and Engineering Research Council of Canada","499","Morocco","128",,,,
,,,,"Emery, P.","127",,,,,,,"Journal Of Neuroimmunology","606","Treatment Response","12489","Sapienza Università di Roma","1257","Celgene","497","Georgia","114",,,,
,,,,"Kremmer, E.","126",,,,,,,"Human Immunology","605","Cytology","12338","University of Texas Health Science Center at Houston","1249","Takeda Pharmaceutical Company","497","Puerto Rico","109",,,,
,,,,"Neri, D.","126",,,,,,,"Federation Proceedings","602","Retrospective Study","11823","Novartis International AG","1224","Ministry of Health and Welfare","484","Jordan","107",,,,
,,,,"Anderson, K.C.","124",,,,,,,"Journal Of The American Academy Of Dermatology","597","Methodology","11765","Københavns Universitet","1219","Centre National de la Recherche Scientifique","480","Latvia","102",,,,
,,,,"Burmester, G.R.","123",,,,,,,"Journal Of Leukocyte Biology","592","Immunoblotting","11717","Johns Hopkins University","1217","Meso Scale Diagnostics","474","Iceland","94",,,,
,,,,"Colombel, J.F.","123",,,,,,,"Science","592","Blood","11708","University of Minnesota Twin Cities","1208","Vetenskapsrådet","466","Germany (Democratic Republic, DDR)","89",,,,
,,,,"Colnaghi, M.I.","122",,,,,,,"Experimental Hematology","590","Western Blotting","11705","Chinese Academy of Medical Sciences &amp; Peking Union Medical College","1208","U.S. Department of Veterans Affairs","462","Ghana","89",,,,
,,,,"Ueda, R.","122",,,,,,,"Journal Of Rheumatology","587","Antineoplastic Combined Chemotherapy Protocols","11495","The University of British Columbia","1192","Medical Research Council Canada","456","Luxembourg","86",,,,
,,,,"Smyth, M.J.","121",,,,,,,"Journal Of Cell Science","585","Rituximab","11456","University of Cambridge","1184","Medicinska Forskningsrådet","456","Qatar","84",,,,
,,,,"Van Cutsem, E.","121",,,,,,,"Journal For Immunotherapy Of Cancer","577","B Lymphocyte","11326","Albert Einstein College of Medicine","1181","National Institute for Health and Care Research","434","Costa Rica","83",,,,
,,,,"Trojanowski, J.Q.","119",,,,,,,"Histopathology","572","Prognosis","11152","Columbia University","1180","American Heart Association","433","Cyprus","72",,,,
,,,,"Gelboin, H.V.","118",,,,,,,"European Journal Of Biochemistry","559","Lymphocyte Activation","10947","Northwestern University Feinberg School of Medicine","1179","Regeneron Pharmaceuticals","433","Czechoslovakia","69",,,,
,,,,"Ward, A.B.","118",,,,,,,"Oncotarget","556","Antineoplastic Agents","10900","University of Michigan Medical School","1172","Fundamental Research Funds for the Central Universities","431","Macao","68",,,,
,,,,"Kwong, P.D.","117",,,,,,,"Annals Of Oncology","548","Antibody","10846","Universiteit van Amsterdam","1168","Science and Technology Commission of Shanghai Municipality","416","Uganda","65",,,,
,,,,"Xia, N.","117",,,,,,,"New England Journal Of Medicine","539","Child","10846","University of Michigan, Ann Arbor","1158","Bayer","412","Ecuador","60",,,,
,,,,"Baselga, J.","116",,,,,,,"Journal Of Allergy And Clinical Immunology","536","Cell Line, Tumor","10654","F. Hoffmann-La Roche AG","1152","Coordenação de Aperfeiçoamento de Pessoal de Nível Superior","410","Türkiye","60",,,,
,,,,"Nadler, L.M.","116",,,,,,,"Journal Of Pathology","536","Retrospective Studies","10628","University of Pittsburgh School of Medicine","1133","Merck KGaA","408","Bosnia and Herzegovina","58",,,,
,,,,"Reisfeld, R.A.","116",,,,,,,"BMC Cancer","528","Antibodies","10514","University of California, Davis","1131","China Postdoctoral Science Foundation","403","Sri Lanka","57",,,,
,,,,"Webster, R.G.","116",,,,,,,"Laboratory Investigation","526","Overall Survival","10304","Imperial College London","1128","U.S. Department of Agriculture","398","Yugoslavia","53",,,,
,,,,"Ritz, J.","115",,,,,,,"Annals Of The New York Academy Of Sciences","525","Phenotype","10101","UT Southwestern Medical School","1109","National Institute on Drug Abuse","383","Ethiopia","52",,,,
,,,,"Sondel, P.M.","115",,,,,,,"Leukemia","523","Drug Withdrawal","10033","The University of Sydney","1101","Natural Science Foundation of Jiangsu Province","383","Senegal","52",,,,
,,,,"Wolchok, J.D.","115",,,,,,,"Bioconjugate Chemistry","519","Cancer Survival","9978","Università degli Studi di Torino","1097","Agence Nationale de la Recherche","379","Cameroon","49",,,,
,,,,"Ascierto, P.A.","114",,,,,,,"Clinical Immunology And Immunopathology","514","Gamma Interferon","9922","Helsingin Yliopisto","1090","Fundação de Amparo à Pesquisa do Estado de São Paulo","375","Kazakhstan","48",,,,
,,,,"Blazar, B.R.","114",,,,,,,"Monoclonal Antibodies In Immunodiagnosis And Immunotherapy","509","Protein Binding","9893","Lunds Universitet","1077","Chugai Pharmaceutical","370","North Macedonia","46",,,,
,,,,"Dimitrov, D.S.","114",,,,,,,"Leukemia Research","507","Histopathology","9889","Emory University","1073","National Institute of Mental Health","370","Sudan","45",,,,
,,,,"Mellstedt, H.","114",,,,,,,"Endocrinology","505","Apoptosis","9860","UNC School of Medicine","1068","MedImmune","365","Tanzania","44",,,,
,,,,"Wang, Z.","114",,,,,,,"Journal Of Comparative Neurology","498","Fluorescent Antibody Technique","9557","Institut de Cancerologie Gustave Roussy","1066","Ministero della Salute","365","Algeria","41",,,,
,,,,"Janossy, G.","113",,,,,,,"Haematologica","497","Blood And Hemopoietic System","9548","University of Alberta","1059","Guangdong Provincial Department of Science and Technology","362","Oman","40",,,,
,,,,"Catovsky, D.","112",,,,,,,"Molecular Cancer Therapeutics","495","Cancer Immunotherapy","9543","University of Colorado School of Medicine","1056","Association pour la Recherche sur le Cancer","357","Zimbabwe","40",,,,
,,,,"Katinger, H.","112",,,,,,,"Immunogenetics","482","Antigen Binding","9520","Université Paris-Saclay","1052","Fundação para a Ciência e a Tecnologia","355","Nepal","35",,,,
,,,,"Nomoto, K.","112",,,,,,,"Biotechnology Progress","475","Immune Response","9466","The Ohio State University","1044","Cancer Research UK","354","Syrian Arab Republic","34",,,,
,,,,"Vitetta, E.S.","112",,,,,,,"American Journal Of Transplantation","474","Immunofluorescence","9361","Tel Aviv University","1028","Ministry of Finance","342","Mali","32",,,,
,,,,"Carrasquillo, J.A.","111",,,,,,,"Journal Of The National Cancer Institute","474","Molecular Weight","9256","University of Pittsburgh","1027","Chinese Academy of Sciences","338","Zambia","31",,,,
,,,,"Kishimoto, T.","111",,,,,,,"Biosensors And Bioelectronics","461","Antigen Expression","9143","University Medical Center Utrecht","1011","Eisai","336","Panama","28",,,,
,,,,"Tak, P.P.","111",,,,,,,"International Archives Of Allergy And Immunology","461","Multicenter Study","9080","KU Leuven– University Hospital Leuven","1007","Ministry of Science and Technology, Taiwan","329","Bahrain","26",,,,
,,,,"Beck, A.","110",,,,,,,"Journal Of Neurochemistry","461","Randomized Controlled Trial","8979","University of Toronto Faculty of Medicine","999","Ministry of Science, ICT and Future Planning","326","Gambia","25",,,,
,,,,"Ciardiello, F.","110",,,,,,,"Journal Of Neuroscience","460","In Vivo Study","8969","Oregon Health &amp; Science University","996","Ministry of Education","323","Guatemala","25",,,,
,,,,"Feagan, B.G.","110",,,,,,,"Journal Of Clinical Endocrinology And Metabolism","454","Disease Severity","8919","Universidade de São Paulo","990","Japan Science and Technology Agency","322","Malta","25",,,,
,,,,"Xu, L.","110",,,,,,,"Developmental Biology","453","Cyclophosphamide","8894","Bristol-Myers Squibb","987","Howard Hughes Medical Institute","321","Jamaica","23",,,,
,,,,"Zalutsky, M.R.","110",,,,,,,"Lancet","451","Tumor Cells, Cultured","8802","University of Colorado Anschutz Medical Campus","987","Office of Science","313","Burkina Faso","22",,,,
,,,,"Granger, D.N.","109",,,,,,,"Oncogene","447","Recombinant Proteins","8721","Hannover Medical School","985","Ministério da Educação e Ciência","308","Cambodia","21",,,,
,,,,"Klareskog, L.","109",,,,,,,"Journal Of Medical Virology","444","Cohort Analysis","8717","Erasmus MC","985","Teva Pharmaceutical Industries","308","Madagascar","21",,,,
,,,,"Melero, I.","109",,,,,,,"Viruses","444","Mice, Inbred C57BL","8662","Amsterdam UMC - Vrije Universiteit Amsterdam","981","Cancerfonden","307","Cote d'Ivoire","20",,,,
,,,,"Olive, D.","109",,,,,,,"Retina","443","Time Factors","8614","Institute of Science Tokyo","979","National Institute of Biomedical Imaging and Bioengineering","302","Democratic Republic Congo","19",,,,
,,,,"Weissman, I.L.","109",,,,,,,"Veterinary Microbiology","438","Binding Affinity","8551","Monash University","975","Ligue Contre le Cancer","293","Uzbekistan","19",,,,
,,,,"Hodi, F.S.","108",,,,,,,"Clinical And Experimental Rheumatology","437","Multiple Cycle Treatment","8520","Université McGill","966","Jiangsu Provincial Department of Science and Technology","290","Gabon","18",,,,
,,,,"Peyrin-Biroulet, L.","108",,,,,,,"International Journal Of Oncology","434","Cell Differentiation","8490","Cornell University","960","National Science Council","286","Botswana","17",,,,
,,,,"Xu, X.","108",,,,,,,"Journal Of Neuroscience Research","430","Sensitivity And Specificity","8413","Technische Universität München","960","Natural Science Foundation of Guangdong Province","284","Mozambique","17",,,,
,,,,"Zola, H.","108",,,,,,,"Bone Marrow Transplantation","428","Physiology","8390","Keck School of Medicine of USC","944","Ministero dell’Istruzione, dell’Università e della Ricerca","282","Bolivia","16",,,,
,,,,"Bast, R.C.","106",,,,,,,"Breast Cancer Research And Treatment","428","Immunoenzyme Techniques","8362","Sanofi S.A.","927","UCB","281","French Guiana","16",,,,
,,,,"Butcher, E.C.","106",,,,,,,"Neuroscience Letters","422","Bevacizumab","8203","University of Southern California","926","Daiichi-Sankyo","280","Moldova","16",,,,
,,,,"Gorny, M.K.","106",,,,,,,"American Journal Of Hematology","418","Antineoplastic Activity","8132","Rigshospitalet","920","Consiglio Nazionale delle Ricerche","278","Armenia","15",,,,
,,,,"Robert, C.","106",,,,,,,"Cell","418","Histology","8106","NYU Grossman School of Medicine","919","Australian Research Council","267","Nicaragua","15",,,,
,,,,"Rosenberg, S.A.","106",,,,,,,"Transfusion","414","Blotting, Western","8087","John Radcliffe Hospital","918","Austrian Science Fund","265","Papua New Guinea","15",,,,
,,,,"Scheinberg, D.A.","106",,,,,,,"Gastroenterology","410","Polymerase Chain Reaction","8070","The University of Manchester","912","Priority Academic Program Development of Jiangsu Higher Education Institutions","264","Paraguay","15",,,,
,,,,"Storb, R.","106",,,,,,,"Molecular Pharmaceutics","409","Cancer Staging","8056","Kyushu University","908","Nederlandse Organisatie voor Wetenschappelijk Onderzoek","262","Albania","14",,,,
,,,,"Clausen, H.","105",,,,,,,"Thrombosis Research","409","Breast Cancer","8054","Massachusetts Institute of Technology","907","Engineering and Physical Sciences Research Council","260","Mongolia","14",,,,
,,,,"Epstein, A.L.","105",,,,,,,"EMBO Journal","406","Methotrexate","8011","University of Florida","906","Department of Biotechnology, Ministry of Science and Technology, India","259","Palestine","14",,,,
,,,,"Moreau, P.","105",,,,,,,"Neuroscience","406","Diagnosis","7982","Klinikum der Universität München","903","Biogen","257","Congo","13",,,,
,,,,"Press, O.W.","105",,,,,,,"Hepatology","405","Prednisone","7962","Hôpital Saint-Louis","902","National Institute for Health Research","255","Rwanda","13",,,,
,,,,"Shiku, H.","105",,,,,,,"Acta Neuropathologica","403","Immunization","7924","University of Miami Leonard M. Miller School of Medicine","901","Horizon 2020","252","Liberia","12",,,,
,,,,"Wijdenes, J.","105",,,,,,,"Journal Of Biochemistry","401","Progression Free Survival","7879","Sorbonne Université","899","Astellas Pharma","251","Libyan Arab Jamahiriya","12",,,,
,,,,"Diamantstein, T.","104",,,,,,,"Microbiology And Immunology","401","Antigens, Surface","7813","Consiglio Nazionale delle Ricerche","895","Novartis Pharma","246","Malawi","12",,,,
,,,,"Epenetos, A.A.","104",,,,,,,"Oncologist","401","B-Lymphocytes","7810","Food and Drug Administration","894","Research to Prevent Blindness","245","Yemen","12",,,,
,,,,"Mease, P.J.","104",,,,,,,"Clinica Chimica Acta","400","Diarrhea","7776","Rockefeller University","891","National Basic Research Program of China (973 Program)","243","Azerbaijan","11",,,,
,,,,"Shoyama, Y.","104",,,,,,,"Plos Pathogens","394","Neutralizing Antibody","7767","King's College London","889","U.S. Food and Drug Administration","238","Grenada","11",,,,
,,,,"Suzuki, H.","104",,,,,,,"Methods In Enzymology","392","Tumor Cell Line","7722","Yeshiva University","888","Deutsche Krebshilfe","236","Myanmar","11",,,,
